equity,domestic,rule,rule_label,rate,has_rate,assumed_return,has_assumed_return,label,front_load,reads_mortality,cec_fixed,cec_mortality,ruin_fixed,ruin_mortality,mean_consumption,cec_mortality_theta0,cec_mortality_theta1,cec_mortality_theta2,cec_mortality_theta5,cec_mortality_theta10
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.035,True,,False,"guyton_klinger (no inflation rule) @ 3.5%, 90% equity / 0% domestic",0.035,False,1.1405567592479182,1.1353765534503741,0.01164,0.005153191765671428,1.7439721715596896,1.117992081821476,1.1267872091521058,1.1353765534503741,1.1600129952717246,1.1978115974142507
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.04,True,,False,"guyton_klinger (no inflation rule) @ 4.0%, 90% equity / 0% domestic",0.04,False,1.1784768204582756,1.1785695549241415,0.01896,0.008261495562306504,1.7953251062498805,1.1606463057771703,1.1697151937036654,1.1785695549241415,1.2039528397061947,1.2428565753516079
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.045,True,,False,"guyton_klinger (no inflation rule) @ 4.5%, 90% equity / 0% domestic",0.045,False,1.2071407579872322,1.2147465345299937,0.02976,0.012898282526274025,1.837452862721428,1.1964958470551936,1.2057325371062004,1.2147465345299937,1.2405636459729878,1.2800596046539978
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.05,True,,False,"guyton_klinger (no inflation rule) @ 5.0%, 90% equity / 0% domestic",0.05,False,1.2257922230368772,1.2432968600697698,0.0494,0.020407433925714983,1.87105518650393,1.2249862480095466,1.2342567136729554,1.2432968600697698,1.2691503339835084,1.3085849599077657
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.06,True,,False,"guyton_klinger (no inflation rule) @ 6.0%, 90% equity / 0% domestic",0.06,False,1.2233443603721263,1.2718480228510727,0.1238,0.04882251993262547,1.9147319285574014,1.2545172929910178,1.263303751316024,1.2718480228510727,1.2961495456561027,1.3328176560597707
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.07,True,,False,"guyton_klinger (no inflation rule) @ 7.0%, 90% equity / 0% domestic",0.07,False,1.166323475011813,1.2524510045200665,0.24896,0.10146349758862407,1.9298898840091088,1.2373736783365812,1.2450328478599566,1.2524510045200665,1.2733850604854944,1.304495387374742
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.08,True,,False,"guyton_klinger (no inflation rule) @ 8.0%, 90% equity / 0% domestic",0.08,False,1.0801006682554466,1.191899420066819,0.42832,0.18244683971506653,1.9183539100017333,1.1793268929479235,1.1857254821899506,1.191899420066819,1.2091963880575574,1.2345483114347886
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.09,True,,False,"guyton_klinger (no inflation rule) @ 9.0%, 90% equity / 0% domestic",0.09,False,0.9904034454864115,1.1090378988187894,0.62276,0.2861010776054163,1.8844097041919594,1.0981402774937772,1.1036914175774442,1.1090378988187894,1.123964581563758,1.1456992538078317
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.1,True,,False,"guyton_klinger (no inflation rule) @ 10.0%, 90% equity / 0% domestic",0.1,False,0.9152237214011002,1.026538272040878,0.77424,0.39109739171071284,1.8391631499242982,1.0164349926476404,1.0215814015093612,1.026538272040878,1.040378269871507,1.0605335177674504
0.9,0.0,guyton_klinger,guyton_klinger (no inflation rule),0.12,True,,False,"guyton_klinger (no inflation rule) @ 12.0%, 90% equity / 0% domestic",0.12,False,0.8118323869984129,0.8995438217665014,0.95348,0.5758636279375219,1.7454820565902913,0.8900407150853853,0.8948770749189181,0.8995438217665014,0.912619243012529,0.9317865210275439
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.03,True,,False,"vanguard_dynamic @ 3.0%, 90% equity / 0% domestic",0.03,False,1.0931832554349001,1.089834747461911,0.01464,0.007473783430495446,1.6039860233073364,1.0731687580060176,1.081600597242425,1.089834747461911,1.113450092163454,1.1496749888957425
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.035,True,,False,"vanguard_dynamic @ 3.5%, 90% equity / 0% domestic",0.035,False,1.13772760256601,1.1402135153056543,0.02336,0.012297951381538018,1.6678001226607986,1.12293561555826,1.1316785632533228,1.1402135153056543,1.1646744352712461,1.2021440291315064
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.04,True,,False,"vanguard_dynamic @ 4.0%, 90% equity / 0% domestic",0.04,False,1.1706873798839632,1.1819878847699603,0.0382,0.01957635007170458,1.7236874559862971,1.1643602095319614,1.1732828304634446,1.1819878847699603,1.2069062933904098,1.244985222270603
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.045,True,,False,"vanguard_dynamic @ 4.5%, 90% equity / 0% domestic",0.045,False,1.186678413356463,1.2118376477138197,0.06512,0.03237418413176345,1.7708449576523997,1.1942828707456872,1.2031733526678325,1.2118376477138197,1.2365863189495356,1.274245462769921
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.05,True,,False,"vanguard_dynamic @ 5.0%, 90% equity / 0% domestic",0.05,False,1.178612481058568,1.2230563218577568,0.10644,0.053567801562180266,1.8088301489354643,1.2061372023450798,1.2147127597328353,1.2230563218577568,1.2468114160530057,1.282727449728722
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.06,True,,False,"vanguard_dynamic @ 6.0%, 90% equity / 0% domestic",0.06,False,1.10048245552233,1.1836120884248706,0.2452,0.1276304951340337,1.8575561562899348,1.1692268345931816,1.1765333861522207,1.1836120884248706,1.2035995063583753,1.2333353927917654
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.07,True,,False,"vanguard_dynamic @ 7.0%, 90% equity / 0% domestic",0.07,False,0.9927321834673088,1.088571527861606,0.4184,0.2353288391336979,1.8708809152426318,1.076457492724887,1.0826183007558288,1.088571527861606,1.1052971288300986,1.1299428689113222
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.08,True,,False,"vanguard_dynamic @ 8.0%, 90% equity / 0% domestic",0.08,False,0.9058846857599951,0.9974225887185845,0.59748,0.3556678375478064,1.8553669869191372,0.986609492410745,0.9921106478927966,0.9974225887185845,1.0123256903740152,1.0342277373618987
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.09,True,,False,"vanguard_dynamic @ 9.0%, 90% equity / 0% domestic",0.09,False,0.8370377460967343,0.9198171559965984,0.767,0.4842072015873525,1.8187891079389338,0.9097833824948292,0.9148876307647261,0.9198171559965984,0.9336518806702591,0.9539964382114124
0.9,0.0,vanguard_dynamic,vanguard_dynamic,0.1,True,,False,"vanguard_dynamic @ 10.0%, 90% equity / 0% domestic",0.1,False,0.7871230735521713,0.8596927951359017,0.88192,0.596659101099337,1.7726603062287023,0.8501041240792375,0.8549804604546466,0.8596927951359017,0.8729337303893429,0.8924492553369454
