system,rule,strategy,fraction,treatment,assessed,cec,cec_survival,prob_ruin,prob_ruin_survival,mean_consumption,p5_consumption,median_bequest,moneys_worth
us_social_security,constant_percent at 4%,balanced_all_equity,0.95,exempt from the assets test,0.0,1.3040079038035113,1.3093004106323214,0.0,0.0,2.333718546295929,0.8933227563693071,1.848340117187647,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.95,exempt from the assets test,0.0,1.1690684008754038,1.175337513985254,0.0,0.0,1.8570769242793437,0.8121122369968963,0.6697205903799652,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,1.0,exempt from the assets test,0.0,1.2778665375213194,1.2628408500994877,1.0,0.9914042022859769,2.3295342882374936,0.891673231006063,0.0,1.0
us_social_security,constant_percent at 4%,target_date_fund,1.0,exempt from the assets test,0.0,1.1626709577846908,1.1557825301903955,1.0,0.9914042022859769,1.8762862899332946,0.8170210964685813,0.0,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.0,assessed at its remaining value,1.0,1.1281165718858748,1.1332774283837341,0.0,0.0,2.4132194494062005,0.7637519566128143,36.966802343752896,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.0,assessed at its remaining value,1.0,0.9581987033875073,0.9763525104979293,0.0,0.0,1.4920989768542556,0.6518069903728645,13.394411807599305,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.1,assessed at its remaining value,1.0,1.162035905135427,1.1655017161865053,0.0,0.0,2.404850933289331,0.7892280872968717,33.27012210937762,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.1,assessed at its remaining value,1.0,0.991226304018225,1.0069267783451086,0.0,0.0,1.5305177081621593,0.6794070509165923,12.05497062683937,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.25,assessed at its remaining value,1.0,1.2038366018145443,1.2059007187082076,0.0,0.0,2.392298159114024,0.8215959908485113,27.725101757814684,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.25,assessed at its remaining value,1.0,1.0332595283487218,1.0463680218172475,0.0,0.0,1.5881458051240152,0.7131556286510691,10.045808855699473,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.5,assessed at its remaining value,1.0,1.2568648977227392,1.2586117353913027,0.0,0.0,2.371376868821847,0.8606467271004754,18.483401171876448,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.5,assessed at its remaining value,1.0,1.0914001592870433,1.1017768392323586,0.0,0.0,1.6841926333937747,0.7555804057714616,6.697205903799652,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.75,assessed at its remaining value,1.0,1.292273316216624,1.295920239347789,0.0,0.0,2.35045557852967,0.8872317873363961,9.241700585938224,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.75,assessed at its remaining value,1.0,1.1392831337164158,1.148124326101557,0.0,0.0,1.780239461663535,0.789822888222327,3.3486029518998253,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.9,assessed at its remaining value,1.0,1.303499892414697,1.3091265270350485,0.0,0.0,2.3379028043543646,0.8936642996032818,3.6966802343752905,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.9,assessed at its remaining value,1.0,1.163133263374487,1.1708935407224732,0.0,0.0,1.8378675586253908,0.8073444816868813,1.3394411807599305,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,0.95,assessed at its remaining value,1.0,1.3040079038035113,1.3093004106323214,0.0,0.0,2.333718546295929,0.8933227563693071,1.848340117187647,1.0
us_social_security,constant_percent at 4%,target_date_fund,0.95,assessed at its remaining value,1.0,1.1690684008754038,1.175337513985254,0.0,0.0,1.8570769242793437,0.8121122369968963,0.6697205903799652,1.0
us_social_security,constant_percent at 4%,balanced_all_equity,1.0,assessed at its remaining value,1.0,1.2778665375213194,1.2628408500994877,1.0,0.9914042022859769,2.3295342882374936,0.891673231006063,0.0,1.0
us_social_security,constant_percent at 4%,target_date_fund,1.0,assessed at its remaining value,1.0,1.1626709577846908,1.1557825301903955,1.0,0.9914042022859769,1.8762862899332946,0.8170210964685813,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.0,exempt from the assets test,0.0,1.2413063352365137,1.294297236743299,0.0,0.0,2.8442681437568944,0.8295807299032805,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.0,exempt from the assets test,0.0,1.0340948716170981,1.0849270357801788,0.0,0.0,1.7564321926196997,0.68263516123651,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.1,exempt from the assets test,0.0,1.2655902151157015,1.3147655364403288,0.0,0.0,2.7927947582049546,0.8519609865892915,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.1,exempt from the assets test,0.0,1.06326756892114,1.1094379928394111,0.0,0.0,1.768417602351059,0.7103274213789388,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.25,exempt from the assets test,0.0,1.2898967125743,1.334285314033929,0.0,0.0,2.7155846798770447,0.8780588344511243,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.25,exempt from the assets test,0.0,1.0960195640586985,1.136196719770802,0.0,0.0,1.7863957169480982,0.7429201168080298,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.5,exempt from the assets test,0.0,1.3086922353486103,1.3460742309149916,0.0,0.0,2.5869012159971945,0.9035295740381116,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.5,exempt from the assets test,0.0,1.132566350402044,1.1640397544846024,0.0,0.0,1.8163592412764964,0.7812548765978105,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.75,exempt from the assets test,0.0,1.305696798194486,1.3358959808831836,0.0,0.0,2.458217752117344,0.9098196556796266,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.75,exempt from the assets test,0.0,1.1536868965919813,1.1766604475363591,0.0,0.0,1.846322765604896,0.8051255172598498,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.9,exempt from the assets test,0.0,1.292828166989783,1.31608635757107,0.0,0.0,2.3810076737894343,0.9041909453403562,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.9,exempt from the assets test,0.0,1.1604466253111103,1.1760840419550378,0.0,0.0,1.8643008802019354,0.8140139122423824,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.95,exempt from the assets test,0.0,1.2861577268198021,1.3035562336907938,0.0,0.0,2.3552709810134633,0.8981534421358338,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.95,exempt from the assets test,0.0,1.161785630530184,1.1723733217579997,0.0,0.0,1.8702935850676143,0.8157404295784288,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,1.0,exempt from the assets test,0.0,1.2778665375213194,1.2628408500994877,1.0,0.9914042022859769,2.3295342882374936,0.891673231006063,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,1.0,exempt from the assets test,0.0,1.1626709577846908,1.1557825301903955,1.0,0.9914042022859769,1.8762862899332946,0.8170210964685813,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.0,assessed at its remaining value,1.0,1.2413063352365137,1.294297236743299,0.0,0.0,2.8442681437568944,0.8295807299032805,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.0,assessed at its remaining value,1.0,1.0340948716170981,1.0849270357801788,0.0,0.0,1.7564321926196997,0.68263516123651,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.1,assessed at its remaining value,1.0,1.2655902151157015,1.3147655364403288,0.0,0.0,2.7927947582049546,0.8519609865892915,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.1,assessed at its remaining value,1.0,1.06326756892114,1.1094379928394111,0.0,0.0,1.768417602351059,0.7103274213789388,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.25,assessed at its remaining value,1.0,1.2898967125743,1.334285314033929,0.0,0.0,2.7155846798770447,0.8780588344511243,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.25,assessed at its remaining value,1.0,1.0960195640586985,1.136196719770802,0.0,0.0,1.7863957169480982,0.7429201168080298,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.5,assessed at its remaining value,1.0,1.3086922353486103,1.3460742309149916,0.0,0.0,2.5869012159971945,0.9035295740381116,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.5,assessed at its remaining value,1.0,1.132566350402044,1.1640397544846024,0.0,0.0,1.8163592412764964,0.7812548765978105,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.75,assessed at its remaining value,1.0,1.305696798194486,1.3358959808831836,0.0,0.0,2.458217752117344,0.9098196556796266,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.75,assessed at its remaining value,1.0,1.1536868965919813,1.1766604475363591,0.0,0.0,1.846322765604896,0.8051255172598498,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.9,assessed at its remaining value,1.0,1.292828166989783,1.31608635757107,0.0,0.0,2.3810076737894343,0.9041909453403562,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.9,assessed at its remaining value,1.0,1.1604466253111103,1.1760840419550378,0.0,0.0,1.8643008802019354,0.8140139122423824,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,0.95,assessed at its remaining value,1.0,1.2861577268198021,1.3035562336907938,0.0,0.0,2.3552709810134633,0.8981534421358338,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,0.95,assessed at its remaining value,1.0,1.161785630530184,1.1723733217579997,0.0,0.0,1.8702935850676143,0.8157404295784288,0.0,1.0
us_social_security,amortisation at 6%,balanced_all_equity,1.0,assessed at its remaining value,1.0,1.2778665375213194,1.2628408500994877,1.0,0.9914042022859769,2.3295342882374936,0.891673231006063,0.0,1.0
us_social_security,amortisation at 6%,target_date_fund,1.0,assessed at its remaining value,1.0,1.1626709577846908,1.1557825301903955,1.0,0.9914042022859769,1.8762862899332946,0.8170210964685813,0.0,1.0
age_pension_matched,fixed_real_rule,balanced_all_equity,0.0,exempt from the assets test,0.0,0.4159074372399515,0.4453337149970984,0.11592,0.05824817845075118,1.1375837625179384,0.3398425598252197,45.3073689533057,1.0
age_pension_matched,fixed_real_rule,target_date_fund,0.0,exempt from the assets test,0.0,0.4755108619605084,0.5025286799240993,0.21892,0.111136015834872,0.8864899600440282,0.3725612013925447,9.647987242658953,1.0
