system,rule,challenger,incumbent,gap_pct,leader,best_strategy,best_cec,gamma
age_pension_untested,amortisation at 0%,0.8352115887181568,0.7333754384090977,13.885950493511356,balanced_all_equity,international_equity,0.8735300218703526,10.0
age_pension_untested,amortisation at 2%,0.8586055485194626,0.7397554204331597,16.066138186146837,balanced_all_equity,international_equity,0.9015739676237945,10.0
age_pension_untested,amortisation at 4%,0.860681007187689,0.734024984124397,17.25500164199143,balanced_all_equity,international_equity,0.9079013724494576,10.0
age_pension_untested,amortisation at 6%,0.8416164219934785,0.7183805074858721,17.154685187505603,balanced_all_equity,international_equity,0.8911684519149015,10.0
age_pension_untested,amortisation at 8%,0.807601149209447,0.6958840209857363,16.05398670678784,balanced_all_equity,international_equity,0.8559529939227019,10.0
age_pension_untested,amortisation at 10%,0.7663269375187717,0.6696135536412281,14.443164023732047,balanced_all_equity,international_equity,0.8100349254871133,10.0
australia_as_legislated,fixed_real_rule,0.1914085986010343,0.30095365928302104,-36.39931175549158,target_date_fund,target_date_fund,0.30095365928302104,10.0
australia_as_legislated,constant_percent at 4%,0.6341061010030667,0.5876393768152952,7.90735373105822,balanced_all_equity,international_equity,0.6656771940149596,10.0
australia_as_legislated,amortisation at 0%,0.6417072535007403,0.6096910533878362,5.251216978665085,balanced_all_equity,international_equity,0.6700308479404582,10.0
australia_as_legislated,amortisation at 2%,0.8098946624263156,0.7462662612269799,8.52623312954286,balanced_all_equity,international_equity,0.8453471527489262,10.0
australia_as_legislated,amortisation at 4%,0.9409734963892115,0.8077207547772395,16.497377444352246,balanced_all_equity,international_equity,0.982976168986355,10.0
australia_as_legislated,amortisation at 6%,0.9744871281909577,0.8025846063648767,21.4186168614265,balanced_all_equity,international_equity,1.0252356688326452,10.0
australia_as_legislated,amortisation at 8%,0.9372790287717917,0.7748971915568901,20.955274968625325,balanced_all_equity,international_equity,0.9939733208288091,10.0
australia_as_legislated,amortisation at 10%,0.8788497733408609,0.7405136773360366,18.681099382591015,balanced_all_equity,international_equity,0.9345734479731185,10.0
us_matched_saving,fixed_real_rule,0.7914614024119626,0.7330506525538703,7.96817377552228,balanced_all_equity,international_equity,0.818418571792442,10.0
us_matched_saving,constant_percent at 4%,0.9792645881217773,0.8307921355258325,17.871191390367724,balanced_all_equity,international_equity,1.0367962580419208,10.0
us_matched_saving,amortisation at 0%,1.0388091734347913,0.8845885397960599,17.43416590885143,balanced_all_equity,international_equity,1.0839020394391707,10.0
us_matched_saving,amortisation at 2%,1.06838037757167,0.8901838235030887,20.01795015408556,balanced_all_equity,international_equity,1.119234796634619,10.0
us_matched_saving,amortisation at 4%,1.0662912055574216,0.8806961681357999,21.07367377497249,balanced_all_equity,international_equity,1.12468667686511,10.0
us_matched_saving,amortisation at 6%,1.0345291500665126,0.8592956277196064,20.39269335187237,balanced_all_equity,international_equity,1.0989642020808998,10.0
us_matched_saving,amortisation at 8%,0.984001996397294,0.8298608202908142,18.574340701186863,balanced_all_equity,international_equity,1.0490133389307967,10.0
us_matched_saving,amortisation at 10%,0.9261615747903054,0.7960251556284201,16.348279729822025,balanced_all_equity,international_equity,0.9857857705632596,10.0
us_social_security,fixed_real_rule,0.7583757243745954,0.7069383849931433,7.2760710796530015,balanced_all_equity,international_equity,0.7843119031524511,10.0
us_social_security,constant_percent at 4%,0.8276601504952025,0.7375522816323224,12.217150038971702,balanced_all_equity,international_equity,0.8707230288372185,10.0
us_social_security,amortisation at 0%,0.8665727775580736,0.7742578564605964,11.923020260909079,balanced_all_equity,international_equity,0.9058519388525429,10.0
us_social_security,amortisation at 2%,0.8898202100668666,0.7828658589697352,13.66190003966774,balanced_all_equity,international_equity,0.9350123627034446,10.0
us_social_security,amortisation at 4%,0.8942957484524454,0.780010088262704,14.651818214849865,balanced_all_equity,international_equity,0.9444233931310485,10.0
us_social_security,amortisation at 6%,0.8793486975216545,0.767111677907794,14.631118629294448,balanced_all_equity,international_equity,0.9313806319337998,10.0
us_social_security,amortisation at 8%,0.8499867808408609,0.7469904208214839,13.788176815722665,balanced_all_equity,international_equity,0.8996034399751185,10.0
us_social_security,amortisation at 10%,0.8131725295813376,0.7229058288094923,12.486647247055638,balanced_all_equity,international_equity,0.856919750989229,10.0
