dropped,system,rule,challenger,incumbent,gap_pct,leader,best_strategy,best_cec,n_markets
DEU,australia_as_legislated,amortisation at 4%,1.2137828248581746,1.01771860888704,19.265071332983386,balanced_all_equity,international_equity,1.281731761673594,15
DEU,australia_as_legislated,amortisation at 6%,1.271760767941851,1.039903762306296,22.296006038226366,balanced_all_equity,international_equity,1.3474342427700392,15
DEU,australia_as_legislated,amortisation at 8%,1.2559270236875348,1.0151832094541002,23.71432190677101,balanced_all_equity,international_equity,1.3339657183901978,15
DEU,australia_as_legislated,amortisation at 10%,1.1873135917724693,0.9629583931430359,23.298535038170453,balanced_all_equity,international_equity,1.259984768298426,15
DEU,us_social_security,fixed_real_rule,1.0145285439969691,0.9250402478988653,9.673989461687471,balanced_all_equity,international_equity,1.0484854851338252,15
DEU,us_social_security,constant_percent at 4%,1.0817054019192196,0.9344999704198479,15.752320616258109,balanced_all_equity,international_equity,1.1310831605417828,15
DEU,us_social_security,amortisation at 0%,1.1447304833787395,0.9986461829457792,14.628233995952877,balanced_all_equity,international_equity,1.1933914109007373,15
DEU,us_social_security,amortisation at 2%,1.1861551619483501,1.0204574856800341,16.237587414814737,balanced_all_equity,international_equity,1.2421262581796457,15
DEU,us_social_security,amortisation at 4%,1.201403535189269,1.0231743288201554,17.419241408708274,balanced_all_equity,international_equity,1.2618079877445925,15
DEU,us_social_security,amortisation at 6%,1.187756578073144,1.0073857927757042,17.904837113143568,balanced_all_equity,international_equity,1.2481715058747693,15
DEU,us_social_security,amortisation at 8%,1.1491649076080828,0.9774771638766857,17.56437388782379,balanced_all_equity,international_equity,1.204957675276682,15
DEU,us_social_security,amortisation at 10%,1.0943984704179328,0.9396745305640002,16.465694750826778,balanced_all_equity,international_equity,1.142384793687526,15
DNK,australia_as_legislated,fixed_real_rule,0.6376987701846043,0.6431290217495866,-0.8443487047450793,target_date_fund,target_date_fund,0.6431290217495866,15
DNK,australia_as_legislated,constant_percent at 4%,0.846334938706101,0.718416564818349,17.80559916795572,balanced_all_equity,international_equity,0.9238564163701661,15
DNK,australia_as_legislated,amortisation at 0%,0.929424888612461,0.8147789534296608,14.070802234178913,balanced_all_equity,international_equity,1.0029427110531237,15
DNK,australia_as_legislated,amortisation at 2%,1.1138877867044468,0.9514245613013356,17.075786353559952,balanced_all_equity,international_equity,1.201394124513073,15
DNK,australia_as_legislated,amortisation at 4%,1.2502659720288205,1.034810944526705,20.820714029136877,balanced_all_equity,international_equity,1.3485680887276728,15
DNK,australia_as_legislated,amortisation at 6%,1.31292008470375,1.0573382602290058,24.17219106583626,balanced_all_equity,international_equity,1.4193272562064738,15
DNK,australia_as_legislated,amortisation at 8%,1.2986733387493183,1.031564181507878,25.89360526758464,balanced_all_equity,international_equity,1.4089365918784282,15
DNK,australia_as_legislated,amortisation at 10%,1.2281861802717196,0.977552323394987,25.638919869403477,balanced_all_equity,international_equity,1.3347044881296135,15
DNK,us_social_security,fixed_real_rule,1.0335428993708533,0.9337494347132506,10.687392243321558,balanced_all_equity,international_equity,1.0869429530642123,15
DNK,us_social_security,constant_percent at 4%,1.1142609297645727,0.9484256954971675,17.48531646229532,balanced_all_equity,international_equity,1.193664088579263,15
DNK,us_social_security,amortisation at 0%,1.176131233404451,1.01387718587149,16.00332365635524,balanced_all_equity,international_equity,1.2504624370443496,15
DNK,us_social_security,amortisation at 2%,1.2206895464151788,1.03648092347626,17.772504902560126,balanced_all_equity,international_equity,1.3040712433381965,15
DNK,us_social_security,amortisation at 4%,1.237999835559396,1.0392658864665778,19.122531748684434,balanced_all_equity,international_equity,1.327613741400659,15
DNK,us_social_security,amortisation at 6%,1.224811380331167,1.0228043931931863,19.750304993051195,balanced_all_equity,international_equity,1.3161962161945533,15
DNK,us_social_security,amortisation at 8%,1.184839095366634,0.9915974893528339,19.4879079554668,balanced_all_equity,international_equity,1.2725794687463359,15
DNK,us_social_security,amortisation at 10%,1.1271144288454231,0.9520943104863038,18.38264512574641,balanced_all_equity,international_equity,1.206424152189173,15
ESP,australia_as_legislated,fixed_real_rule,0.6394057861243575,0.6587826160929626,-2.9413086343296646,target_date_fund,target_date_fund,0.6587826160929626,15
ESP,australia_as_legislated,constant_percent at 4%,0.8672817314111184,0.732003336551145,18.480570798671693,balanced_all_equity,international_equity,0.957286559890317,15
ESP,australia_as_legislated,amortisation at 0%,0.9508319234422243,0.8301944027142917,14.53123754309984,balanced_all_equity,international_equity,1.0356411670369334,15
ESP,australia_as_legislated,amortisation at 2%,1.1401733118924215,0.9689965004890255,17.665369412274234,balanced_all_equity,international_equity,1.2407392205262975,15
ESP,australia_as_legislated,amortisation at 4%,1.2804676083652191,1.053505918517473,21.543466045936754,balanced_all_equity,international_equity,1.3923458799547805,15
ESP,australia_as_legislated,amortisation at 6%,1.3452629886602514,1.0763316393524467,24.985918788896868,balanced_all_equity,international_equity,1.465220284465186,15
ESP,australia_as_legislated,amortisation at 8%,1.3308590977421784,1.0500206660260805,26.74599089358518,balanced_all_equity,international_equity,1.4548717562325477,15
ESP,australia_as_legislated,amortisation at 10%,1.257722359008757,0.9944395817891315,26.47549253278354,balanced_all_equity,international_equity,1.3776584765248057,15
ESP,us_social_security,fixed_real_rule,1.0530965622084572,0.9484198680728402,11.036957117770708,balanced_all_equity,international_equity,1.113149932177101,15
ESP,us_social_security,constant_percent at 4%,1.1357472427985507,0.9622523107347417,18.030087340744807,balanced_all_equity,international_equity,1.2251677486636556,15
ESP,us_social_security,amortisation at 0%,1.1974102774482231,1.0286296803399049,16.408295456975885,balanced_all_equity,international_equity,1.2800458927221525,15
ESP,us_social_security,amortisation at 2%,1.2450817325738217,1.0527551294386799,18.26888302483871,balanced_all_equity,international_equity,1.3382949095556698,15
ESP,us_social_security,amortisation at 4%,1.2641412589173577,1.0561065314918188,19.698271076088925,balanced_all_equity,international_equity,1.3647890022339684,15
ESP,us_social_security,amortisation at 6%,1.2508662690812897,1.0391034857975476,20.379373775385503,balanced_all_equity,international_equity,1.3538359028938072,15
ESP,us_social_security,amortisation at 8%,1.2089434059417943,1.0063772321472721,20.128254825709213,balanced_all_equity,international_equity,1.3078730457417458,15
ESP,us_social_security,amortisation at 10%,1.147892507038863,0.9647546765049343,18.982839367764615,balanced_all_equity,international_equity,1.2370691148238446,15
FIN,australia_as_legislated,fixed_real_rule,0.6550589612458771,0.6760555916061505,-3.1057550031337255,target_date_fund,target_date_fund,0.6760555916061505,15
FIN,australia_as_legislated,constant_percent at 4%,0.8559320509311172,0.7256748930331676,17.949795307579453,balanced_all_equity,international_equity,0.9405692113327176,15
FIN,australia_as_legislated,amortisation at 0%,0.9394042072305052,0.8234254973877493,14.084906310369183,balanced_all_equity,international_equity,1.0196014927172181,15
FIN,australia_as_legislated,amortisation at 2%,1.1265000630157653,0.962869429383763,16.994062604804693,balanced_all_equity,international_equity,1.2231668691076623,15
FIN,australia_as_legislated,amortisation at 4%,1.2649301221594138,1.0487631966920814,20.61160480737192,balanced_all_equity,international_equity,1.3743837407079567,15
FIN,australia_as_legislated,amortisation at 6%,1.3286383282933638,1.0725279196313386,23.87913675478568,balanced_all_equity,international_equity,1.4472892653622498,15
FIN,australia_as_legislated,amortisation at 8%,1.3140975831363504,1.046247072069246,25.601076286632285,balanced_all_equity,international_equity,1.4365054270108537,15
FIN,australia_as_legislated,amortisation at 10%,1.241820825316685,0.990253885716277,25.40428704487665,balanced_all_equity,international_equity,1.3588665646554519,15
FIN,us_social_security,fixed_real_rule,1.0462869165978583,0.9474055362639828,10.43707014039692,balanced_all_equity,international_equity,1.1055356549209439,15
FIN,us_social_security,constant_percent at 4%,1.123027521311715,0.9572176097651631,17.322070744940675,balanced_all_equity,international_equity,1.208095610321371,15
