incidence,equity,median_wealth,free_area,cutoff,share_below_the_free_area,share_inside_the_taper_band,share_above_the_cut-off,cec,cec_lifetime,prob_ruin,mean_consumption,p5_consumption,mean_working_consumption
0.0,0.95,34.71972227959987,3.014330021789434,6.767475613460695,0.00092,0.0128,0.98628,0.7627268983424059,0.7252499993207039,0.0818,2.6609266783004766,0.5669314842892917,1.3862492585211585
0.0,1.0,36.42696458442211,3.014330021789434,6.767475613460695,0.00092,0.01224,0.98684,0.7700761837868666,0.726168074341515,0.081,2.8303718943976754,0.577429028150423,1.3862492585211585
0.25,0.0,11.568013586357482,3.014330021789434,6.767475613460695,0.04148,0.16932,0.7892,0.5626828396135758,0.6598334320892512,0.45992,0.9052936616053867,0.441239257267975,1.334998486896044
0.25,0.05,12.324018258279402,3.014330021789434,6.767475613460695,0.03532,0.14884,0.81584,0.5688406012363979,0.6620320660409997,0.419,0.9456586394827353,0.44323966804091286,1.334998486896044
0.25,0.1,13.137497651795941,3.014330021789434,6.767475613460695,0.02956,0.12968,0.84076,0.5748750035013326,0.6641074498872238,0.37756,0.990094141470443,0.44546113255317715,1.334998486896044
0.25,0.15,13.970296528389992,3.014330021789434,6.767475613460695,0.0236,0.1138,0.8626,0.5827693861188065,0.6667086782078996,0.34136,1.0388646093745515,0.44836756031566777,1.334998486896044
0.25,0.2,14.884142992075242,3.014330021789434,6.767475613460695,0.01868,0.09912,0.8822,0.5899323863042416,0.6689617845903088,0.30392,1.092684777450558,0.4492869049050311,1.334998486896044
0.25,0.25,15.819830081260863,3.014330021789434,6.767475613460695,0.01472,0.08548,0.8998,0.6015026575940862,0.6723970500869737,0.27,1.1515117183484997,0.4492869049050311,1.334998486896044
0.25,0.3,16.806143404758863,3.014330021789434,6.767475613460695,0.012,0.07412,0.91388,0.6116529651827326,0.6752148918214412,0.23868,1.215463187418439,0.4492869049050311,1.334998486896044
0.25,0.35,17.853750775054134,3.014330021789434,6.767475613460695,0.0098,0.06288,0.92732,0.621087739524769,0.6776801736924281,0.21084,1.284751293911074,0.4492869049050311,1.334998486896044
0.25,0.4,18.94026418467353,3.014330021789434,6.767475613460695,0.0076,0.0534,0.939,0.632997218937378,0.6805938004815116,0.189,1.359899918727967,0.4492869049050311,1.334998486896044
0.25,0.45,20.110031746608048,3.014330021789434,6.767475613460695,0.0056,0.04584,0.94856,0.647359401269799,0.6838344599592826,0.16952,1.4413098610347326,0.4492869049050311,1.334998486896044
0.25,0.5,21.29455943241265,3.014330021789434,6.767475613460695,0.00444,0.03832,0.95724,0.6592196245294527,0.6863031150181789,0.15224,1.5291726871055182,0.4492869049050311,1.334998486896044
