scale,equity,arm,median_wealth,free_area,cutoff,share_below_the_free_area,share_inside_the_taper_band,share_above_the_cut-off,cec,cec_lifetime,prob_ruin,mean_consumption,p5_consumption,mean_working_consumption
0.05,0.4,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.3754546901896114,0.5472108858281196,0.12264,0.5410287075144637,0.31224305319375667,1.3764607291220528
0.05,0.45,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.3545756143497534,0.5282964482030981,0.11092,0.5360619390286466,0.2941786327878393,1.3764607291220528
0.05,0.5,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.33298037167834904,0.5065225696808342,0.09972,0.5309482902171718,0.27695597205256234,1.3764607291220528
0.05,0.55,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.3115230390503782,0.4826661820885474,0.09072,0.5257076894154961,0.2610003300885599,1.3764607291220528
0.05,0.6,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.29084825343789916,0.4576548158565304,0.08352,0.52037486549504,0.24404313181535262,1.3764607291220528
0.05,0.65,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.26776764932531527,0.42754561331907165,0.07544,0.5149944814191825,0.2301521949626212,1.3764607291220528
0.05,0.7,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.25059880664415873,0.4037949239832846,0.06788,0.5096291734389599,0.21613570558785702,1.3764607291220528
0.05,0.75,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.2375838502578165,0.3851060529612196,0.06296,0.5042718350141822,0.20395603019598338,1.3764607291220528
0.05,0.8,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.22313606681513481,0.3637469517374164,0.0594,0.498957931600222,0.19240374787071537,1.3764607291220528
0.05,0.85,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.21160242262659615,0.34628668726900913,0.05696,0.4937970365206162,0.18219375658772743,1.3764607291220528
0.05,0.9,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.2004079949157364,0.32903557488255136,0.0562,0.4888124551634256,0.172466658120707,1.3764607291220528
0.05,0.95,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.19030125734630426,0.31323456992541304,0.0548,0.48401469624883314,0.16294651566401622,1.3764607291220528
0.05,1.0,pension from the day work stops,2.415146011989901,3.014330021789434,6.767475613460695,0.61436,0.30004,0.0856,0.18049863515872694,0.2977300429009965,0.05508,0.4794192389790745,0.15561095211220163,1.3764607291220528
0.07,0.0,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.49941662094821865,0.6217075221154094,0.33024,0.6002164288113276,0.42089128146498056,1.3764607291220528
0.07,0.05,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.49176932319511907,0.6186511962063415,0.29376,0.5975633452838293,0.4088805078731982,1.3764607291220528
0.07,0.1,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.48188051858922565,0.6144541447999866,0.259,0.5943201331873084,0.3941253870300243,1.3764607291220528
0.07,0.15,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.46966798346735017,0.6088658579006029,0.22604,0.5904988395709655,0.3794534512213083,1.3764607291220528
0.07,0.2,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.45336876896751355,0.6006560634886816,0.19856,0.5861451478120009,0.3626527257078774,1.3764607291220528
0.07,0.25,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.43697255088705955,0.5914564578433308,0.17544,0.5812996022242951,0.3465780299126998,1.3764607291220528
0.07,0.3,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.4199241299770674,0.5808038199673542,0.15408,0.576077125649317,0.32999522382316887,1.3764607291220528
0.07,0.35,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.4011664054280494,0.5677012905729182,0.1368,0.570544506701941,0.31345916315740047,1.3764607291220528
0.07,0.4,pension from the day work stops,3.3812044167858617,3.014330021789434,6.767475613460695,0.43836,0.38344,0.1782,0.3827972436143739,0.5533717712161074,0.12264,0.5647921753002315,0.2982056263937457,1.3764607291220528
