household,household_label,homeowner,partnered,rule,scale,equity,free_area,cutoff,full_rate,cec,median_wealth,prob_ruin,mean_consumption,p5_consumption,position
couple_renter,"couple, renters",False,True,constant_real,0.14,0.6,6.919364093563304,12.586613936986907,0.4420454877870411,0.47984876386638614,7.738296911422573,0.12995,0.8465167014784006,0.395764766081353,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.14,0.7,6.919364093563304,12.586613936986907,0.4420454877870411,0.4223374271914068,7.738296911422573,0.11,0.8283457670502187,0.3488150558725392,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.14,0.8,6.919364093563304,12.586613936986907,0.4420454877870411,0.3796241297034515,7.738296911422573,0.0948,0.8104510080893822,0.31398862567810243,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.14,0.9,6.919364093563304,12.586613936986907,0.4420454877870411,0.34182270862747194,7.738296911422573,0.0874,0.7932150640538482,0.2844324402394224,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.14,1.0,6.919364093563304,12.586613936986907,0.4420454877870411,0.31256773396943016,7.738296911422573,0.083,0.7775198145309921,0.26146180545910797,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.0,6.919364093563304,12.586613936986907,0.4420454877870411,0.7928180162690515,11.05470987346082,0.4568,1.007914212994471,0.6358214219713502,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.1,6.919364093563304,12.586613936986907,0.4420454877870411,0.7741131507997936,11.05470987346082,0.3815,1.003505739205931,0.6105194560211424,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.2,6.919364093563304,12.586613936986907,0.4420454877870411,0.7459730469063167,11.05470987346082,0.30575,0.9946621269223983,0.5800281237176533,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.3,6.919364093563304,12.586613936986907,0.4420454877870411,0.7012655396293968,11.05470987346082,0.23995,0.981560214190889,0.5442561456340644,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.4,6.919364093563304,12.586613936986907,0.4420454877870411,0.646355948789069,11.05470987346082,0.1916,0.9645468310480741,0.5033053820876476,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.5,6.919364093563304,12.586613936986907,0.4420454877870411,0.5830741303641737,11.05470987346082,0.15755,0.9458562951866812,0.4584023370065784,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.6,6.919364093563304,12.586613936986907,0.4420454877870411,0.5255666993007868,11.05470987346082,0.12995,0.9270044895204725,0.41598233367821075,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.7,6.919364093563304,12.586613936986907,0.4420454877870411,0.47614016847222673,11.05470987346082,0.11,0.9089966484098464,0.3779999387695172,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.8,6.919364093563304,12.586613936986907,0.4420454877870411,0.4311648791660539,11.05470987346082,0.0948,0.8921382314121972,0.3448233162006272,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,0.9,6.919364093563304,12.586613936986907,0.4420454877870411,0.3968891153426676,11.05470987346082,0.0874,0.8768207110689881,0.3180574666536709,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.2,1.0,6.919364093563304,12.586613936986907,0.4420454877870411,0.37170779706482177,11.05470987346082,0.083,0.863165623541619,0.29656825448436847,inside the taper band
couple_renter,"couple, renters",False,True,constant_real,0.28,0.0,6.919364093563304,12.586613936986907,0.4420454877870411,0.8394712519586112,15.476593822845146,0.4568,1.1395432090444886,0.6784232264065969,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.1,6.919364093563304,12.586613936986907,0.4420454877870411,0.8235514640327556,15.476593822845146,0.3815,1.1360347230062233,0.6497213477907888,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.2,6.919364093563304,12.586613936986907,0.4420454877870411,0.7915356469315042,15.476593822845146,0.30575,1.127857502756486,0.6159500931082426,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.3,6.919364093563304,12.586613936986907,0.4420454877870411,0.747769559563468,15.476593822845146,0.23995,1.1144895837971045,0.5790686950936828,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.4,6.919364093563304,12.586613936986907,0.4420454877870411,0.692076585768113,15.476593822845146,0.1916,1.0978933035940501,0.5364187325207995,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.5,6.919364093563304,12.586613936986907,0.4420454877870411,0.6337531862549212,15.476593822845146,0.15755,1.0804124567642748,0.49313489994396675,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.6,6.919364093563304,12.586613936986907,0.4420454877870411,0.5797723914599267,15.476593822845146,0.12995,1.06367027353244,0.45162074778312067,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.7,6.919364093563304,12.586613936986907,0.4420454877870411,0.5341681513152314,15.476593822845146,0.11,1.0483174695754556,0.4155278372588277,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.8,6.919364093563304,12.586613936986907,0.4420454877870411,0.501192854182023,15.476593822845146,0.0948,1.0345540568966642,0.3885709244775617,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,0.9,6.919364093563304,12.586613936986907,0.4420454877870411,0.4727759647597945,15.476593822845146,0.0874,1.022340584668885,0.3673285197049284,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.28,1.0,6.919364093563304,12.586613936986907,0.4420454877870411,0.44531349103983453,15.476593822845146,0.083,1.0113366579322227,0.3497758121436159,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.0,6.919364093563304,12.586613936986907,0.4420454877870411,0.9038682151229995,22.10941974692164,0.4568,1.361422900160166,0.6784232264065969,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.1,6.919364093563304,12.586613936986907,0.4420454877870411,0.8871416545717639,22.10941974692164,0.3815,1.3629596618723088,0.6784232264065969,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.2,6.919364093563304,12.586613936986907,0.4420454877870411,0.857557178838793,22.10941974692164,0.30575,1.3590331259781672,0.6695746393236931,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.3,6.919364093563304,12.586613936986907,0.4420454877870411,0.8126814024975743,22.10941974692164,0.23995,1.3498180470781105,0.625363579699533,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.4,6.919364093563304,12.586613936986907,0.4420454877870411,0.7586147232793747,22.10941974692164,0.1916,1.3377061774116132,0.5836207697804419,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.5,6.919364093563304,12.586613936986907,0.4420454877870411,0.7112843232132984,22.10941974692164,0.15755,1.3251033010076936,0.5461853124345087,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.6,6.919364093563304,12.586613936986907,0.4420454877870411,0.6688347361502983,22.10941974692164,0.12995,1.312936418439204,0.5138771041858777,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.7,6.919364093563304,12.586613936986907,0.4420454877870411,0.6296903546327537,22.10941974692164,0.11,1.3026291665545802,0.4838392956585338,above the cut-off
couple_renter,"couple, renters",False,True,constant_real,0.4,0.8,6.919364093563304,12.586613936986907,0.4420454877870411,0.5986744884457781,22.10941974692164,0.0948,1.2935993977725933,0.45919917544477784,above the cut-off
