scale,leverage,spread,cec,wipeout
0.11,2.0,0.03,0.5711651995513283,0.0004076470588235294
0.11,1.0,0.05,0.5822546273479765,0.0
0.11,1.1,0.05,0.5813321221018941,0.0
0.11,1.2,0.05,0.5800145725907776,0.0
0.11,1.3,0.05,0.5783048856901876,0.0
0.11,1.4,0.05,0.5762026657318831,0.0
0.11,1.5,0.05,0.5736999580890423,0.0
0.11,1.6,0.05,0.5707708941633095,0.0
0.11,1.75,0.05,0.5655480441294969,0.0002023529411764706
0.11,2.0,0.05,0.5549819194087166,0.0006035294117647059
0.13,1.0,0.0,0.6000690952186934,0.0
0.13,1.1,0.0,0.6046923921032401,0.0
0.13,1.2,0.0,0.6087649198798969,0.0
0.13,1.3,0.0,0.6122459905386805,0.0
0.13,1.4,0.0,0.6150961080150701,0.0
0.13,1.5,0.0,0.6172677267889203,0.0
0.13,1.6,0.0,0.6186879663548808,0.0
0.13,1.75,0.0,0.618988872413276,0.0
0.13,2.0,0.0,0.6153103696971792,0.0002023529411764706
0.13,1.0,0.01,0.6000690952186934,0.0
0.13,1.1,0.01,0.6035186406215941,0.0
0.13,1.2,0.01,0.6064211559277273,0.0
0.13,1.3,0.01,0.6087464428805864,0.0
0.13,1.4,0.01,0.6104628088706963,0.0
0.13,1.5,0.01,0.6115286707861497,0.0
0.13,1.6,0.01,0.6118759089393759,0.0
0.13,1.75,0.01,0.6106149342129944,0.0
0.13,2.0,0.01,0.6047817538869394,0.0002023529411764706
0.13,1.0,0.02,0.6000690952186934,0.0
0.13,1.1,0.02,0.6023488125132999,0.0
0.13,1.2,0.02,0.6040917802265643,0.0
0.13,1.3,0.02,0.6052770314038854,0.0
0.13,1.4,0.02,0.6058803498714356,0.0
0.13,1.5,0.02,0.6058667002207627,0.0
0.13,1.6,0.02,0.605174276221788,0.0
0.13,1.75,0.02,0.6024166568765625,0.0002023529411764706
0.13,2.0,0.02,0.5945842657787416,0.0002023529411764706
0.13,1.0,0.03,0.6000690952186934,0.0
0.13,1.1,0.03,0.6011830290577133,0.0
0.13,1.2,0.03,0.60177773242797,0.0
0.13,1.3,0.03,0.6018407945996956,0.0
0.13,1.4,0.03,0.6013555707539483,0.0
0.13,1.5,0.03,0.6002943965398331,0.0
0.13,1.6,0.03,0.5986033721793146,0.0
0.13,1.75,0.03,0.5945839544296797,0.0002023529411764706
0.13,2.0,0.03,0.5848456175341146,0.0004076470588235294
0.13,1.0,0.05,0.6000690952186934,0.0
0.13,1.1,0.05,0.5988640729633079,0.0
0.13,1.2,0.05,0.5971992588018633,0.0
0.13,1.3,0.05,0.5950794325704268,0.0
0.13,1.4,0.05,0.5925047106238915,0.0
0.13,1.5,0.05,0.5894650938089998,0.0
