bridge,retire_age,cec_baseline,cec_timing,timing_effect,cec_formula,cec_both,joint_effect,interaction
0.6,67,0.7004127997882004,0.6984998517771376,-0.0019129480110627872,0.6291565049848444,0.6291565049848444,-0.07125629480335594,0.0019129480110627872
0.6,70,0.6491223711126378,0.6479524292537246,-0.0011699418589131705,0.6178878424676564,0.6178878424676564,-0.03123452864498144,0.0011699418589131705
1.0,50,0.5499195211211076,0.8014198812512265,0.2515003601301189,0.3199404449727416,0.3199404449727416,-0.22997907614836605,-0.2515003601301189
1.0,52,0.6214804633579016,0.8059382018461461,0.18445773848824443,0.3648979219884989,0.3648979219884989,-0.25658254136940273,-0.18445773848824443
1.0,55,0.7121656505896223,0.8035329728081914,0.09136732221856902,0.43100178594058386,0.43100178594058386,-0.2811638646490385,-0.09136732221856902
1.0,58,0.7600038837227656,0.7914746134534846,0.03147072973071896,0.5022056381103245,0.5022056381103245,-0.25779824561244113,-0.03147072973071896
1.0,60,0.7667754469071097,0.7784341033931903,0.011658656486080554,0.5423219959235606,0.5423219959235606,-0.22445345098354919,-0.011658656486080554
1.0,62,0.7588126334046232,0.7610592342765014,0.0022466008718781127,0.5803135190750868,0.5803135190750868,-0.17849911432953647,-0.0022466008718781127
1.0,63,0.7510351359476126,0.7510351359476126,0.0,0.5933758570249643,0.5933758570249643,-0.1576592789226483,0.0
1.0,65,0.7291879097422662,0.7273687822486677,-0.0018191274935984714,0.6175544578931691,0.6175544578931691,-0.11163345184909712,0.0018191274935984714
1.0,67,0.7004127997882004,0.6984998517771376,-0.0019129480110627872,0.6291565049848444,0.6291565049848444,-0.07125629480335594,0.0019129480110627872
1.0,70,0.6491223711126378,0.6479524292537246,-0.0011699418589131705,0.6178878424676564,0.6178878424676564,-0.03123452864498144,0.0011699418589131705
